CLASS,OPEN,CLOSE,MA20,MA20-CLOSE,MA60,MA60-CLOSE,MA200,MA200-CLOSE,20-60 CROSS,20-200CROSS,60-200CROSS,EMA20
0,1329.38,1326.908,1361.4371,1,1345.379717,1,1431.898635,1,1,0,0,1329.181667
0,1326.922,1324.987,1358.0554,1,1346.121317,1,1430.189245,1,1,0,0,1326.725048
0,1325.023,1332.126,1355.28565,1,1346.6955,1,1428.51452,1,1,0,0,1325.666905
0,1332.115,1323.987,1352.20665,1,1347.612267,1,1426.763035,1,1,0,0,1331.350857
0,1323.97,1335.951,1347.8371,1,1348.26575,1,1425.068875,1,0,0,0,1325.126429
0,1340.75,1340.144,1344.95715,1,1348.9576,1,1423.37785,1,0,0,0,1336.350333
1,1340.134,1328.533,1343.5089,1,1349.408333,1,1421.66514,1,0,0,0,1339.03819
1,1328.54,1288.84,1340.403,1,1349.308333,1,1419.77553,1,0,0,0,1324.752714
0,1288.825,1314.886,1335.4114,1,1348.404717,1,1418.0172,1,0,0,0,1291.320571
1,1314.89,1316.509,1331.81885,1,1348.337733,1,1416.357665,1,0,0,0,1315.040571
1,1316.494,1310.111,1329.34005,1,1348.019017,1,1414.65024,1,0,0,0,1315.899667
0,1310.898,1313.527,1326.5987,1,1347.638967,1,1412.99697,1,0,0,0,1310.436333
0,1313.51,1323.111,1325.91855,1,1347.350883,1,1411.436735,1,0,0,0,1314.439762
1,1323.11,1320.291,1325.82145,1,1347.298617,1,1409.989425,1,0,0,0,1322.842429
1,1320.273,1302.711,1325.34675,1,1347.172717,1,1408.440865,1,0,0,0,1318.616714
1,1302.692,1287.887,1324.84995,1,1346.782517,1,1406.8096,1,0,0,0,1301.29919
1,1287.834,1271.333,1323.9159,1,1346.4608,1,1405.14095,1,0,0,0,1286.310429
1,1273.839,1272.766,1319.0967,1,1345.80045,1,1403.653275,1,0,0,0,1271.469476
1,1272.763,1272.115,1314.46125,1,1345.138133,1,1402.12073,1,0,0,0,1272.704
1,1272.127,1275.254,1311.8072,1,1344.610867,1,1400.59176,1,0,0,0,1272.413952
0,1275.243,1281.027,1309.09885,1,1344.495167,1,1399.10459,1,0,0,0,1275.80381
0,1281.027,1315.888,1306.8048,0,1344.431283,1,1397.70958,1,0,0,0,1284.347095
0,1315.843,1314.96,1306.34985,0,1344.4832,1,1396.21759,1,0,0,0,1315.799619
0,1315.537,1317.492,1305.49155,0,1344.495683,1,1394.820195,1,0,0,0,1315.201143
0,1317.475,1315.427,1305.1668,0,1344.300983,1,1393.492475,1,0,0,0,1317.295333
0,1315.458,1339.305,1304.1406,0,1344.00825,1,1392.310575,1,0,0,0,1317.701095
0,1339.312,1332.256,1304.09865,0,1344.306033,1,1391.07573,1,0,0,0,1338.633667
0,1332.282,1346.67,1304.2848,0,1344.135633,0,1389.93257,1,0,0,0,1333.628762
0,1346.688,1349.5,1307.1763,0,1343.864083,0,1388.79386,1,0,0,0,1346.939524
0,1352.486,1348.972,1308.907,0,1343.423083,0,1387.628705,1,0,0,0,1349.449714
0,1348.944,1353.089,1310.53015,0,1342.959033,0,1386.495745,1,0,0,0,1349.364095
0,1353.069,1343.397,1312.67905,0,1342.721517,0,1385.321975,1,0,0,0,1352.165952
0,1343.405,1338.395,1314.17255,0,1342.301333,1,1384.121095,1,0,0,0,1342.920619
0,1338.419,1323.167,1314.93675,0,1341.96525,1,1382.82799,1,0,0,0,1336.944714
0,1323.182,1314.932,1315.08055,1,1341.10665,1,1381.44021,1,0,0,0,1322.382714
0,1313.701,1313.964,1315.6916,1,1339.735683,1,1380.07013,1,0,0,0,1314.83981
0,1313.95,1315.12,1316.99545,1,1338.373083,1,1378.69812,1,0,0,0,1314.074095
